1일 전,디지털데일리언론사 선정,"인텔, '차세대 GPU' TSMC 생산…삼성전자 '고배'",생산 인텔의 선택은 TSMC였다. 차기 그래픽처리장치(GPU) 생산을 TSMC에 위탁하기로 했다. 후보군에 올랐던 삼성전자는 고배를 마셨다. 엔비디아에 집중하면서 AMD를 공략할 것으로 보인다. 19일(현지시각) 은...
1일 전,PC사랑,"유니씨앤씨, 삼성전자 갤럭시북 프로 NT950XDX-G51A 인터파크 쎈딜 진행",[삼성전자 갤럭시북 프로 NT950XDX-G51A 특징] ▷ AMOLED 디스플레이 탑재로 컬러볼륨 120% 지원 ▷ 1.15kg의 초경량과 초슬림 디자인 ▷ 최신 11세대 인텔 코어 i5 타이거레이크 탑재 ▷ NVIDIA GeForce MX450 외장 그래픽...
1일 전,아시아경제,"""글로벌 반도체 업체, '증산 대비' 원재료 쌓자 재고자산 사상 최대 수준""","삼성전자, TSMC, 인텔 등 주요 세계 반도체 제조업체의 재고자산 규모가 사상 최대 수준에 달한 것으로... 20일 일본 니혼게이자이신문에 따르면 삼성전자와 SK하이닉스, TSMC, , 마이크론, 웨스턴디지털..."
1일 전,디지털데일리언론사 선정,"삼성전자, 2분기 세계 반도체 1위 탈환…인텔, 사업재편 ‘총력’",2분기 인텔을 제치고 반도체 회사 중 매출액 1위에 올랐다. 메모리반도체 가격 상승 덕이다. ▲반도체... 2위는 인텔이다. 지난 2분기 매출액은 196억3100만달러(약 22조5700억원) 영업이익은 55억4600만달러(약...
1일 전,이코노믹리뷰,"GF 인수 사실상 '무산'...인텔 ""인수합병 확장 계속된다""   "," 세계 3위 파운드리(반도체 위탁생산) 기업 글로벌파운드리가 미국 증권거래위원회(SEC)에 기업공개(IPO)를 신청한 것으로 알려지면서 인텔의 인수는 사실상 무산됐다. 이에 대해 의 CEO 팻 겔싱어는 ""반도체 업계를..."
1일 전,글로벌경제,"인텔 CEO ""반도체 부문 M&A 주도적으로 추진하겠다""",미국 반도체 메이저인 인텔이 '부흥'을 위해 인수합병(M&A)을 적극 활용할 뜻을 밝혔다. 미 경제매체인 월스트리트저널(WSJ)는 19일(현지시간) 팻 겔싱어 인텔 최고경영자(CEO)를 인용해 보도했다. 미국 캘리포니아주에...
6면 1단,이코노믹리뷰,"[좋거나, 갈리거나, 애매하거나③] 잘 나가는데 불안해...중후장대(重厚長大)","높지만, 인텔 및 TSMC 등 반도체 기업들은 내년이 되어도 반도체 품귀 현상을 완전히 해결할 수 없다고 말한다. 실제로 팻 겔싱어 인텔 CEO는 2분기 실적발표 현장에서 ""글로벌 반도체 품귀 현상은 2023년까지 이어질 것..."
1일 전,천지일보,"인텔, 파운드리 TSMC에 맡기고 그래픽카드 시장 진출",인텔이 슈퍼컴퓨터용 그래픽처리장치(GPU) 파운드리(위탁생산)을 대만 TSMC에 맡기고 그래픽카드 시장에 진출한다. 19일(현지시각) 인텔은 TSMC와의 파트너십을 포함한 GPU 전략의 세부사항을 공개했다. 은...
1일 전,중앙일보,"""반도체 미세공정 경쟁, 2~3 나노가 한계…이젠 3D 소자 연구""","2022년 본격 양산에 돌입.’(8월4일) ‘인텔, 2024년에 2나노급 ‘20A’ 반도체 양산해 현재 앞서 있는... 버클리대 첸밍후 교수의 연구를 바탕으로 2011년 인텔이 22nm에서 핀펫(FinFETㆍFin field-effect transistor) 구조를..."
1일 전,헤럴드경제,"인텔, 인수·합병으로 부흥 나선다…CEO “우리는 통합의 주체”",미국 반도체 기업 인텔의 팻 겔싱어 최고경영자(CEO)가 인텔의 부흥을 위해 인수합병(M&A)을 활용할 계획이라고 밝혔다. 19일(현지시간) 월스트리트저널(WSJ)에 따르면 겔싱어 CEO는 인터뷰에서 “(반도체) 산업에서 합병이...
1일 전,오피니언뉴스,"인텔 CEO ""회사부흥 위해 M&A 활용계획""···우리는 통합주체",팻 겔싱어 인텔 최고경영자(CEO)가 19일(현지시간) 월스트리트저널(WSJ)과 인터뷰에서 기업 부흥을 위해 인수합병(M&A)을 활용할 계획이라고 밝혔다. 월스트리트저널  미국 반도체 기업 의 팻 겔싱어 최고경영자(CEO)...
